id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;1_¿Cuál es el principal objetivo de su visita al BOAM?;1_¿Cuál es el principal objetivo de su visita al BOAM?_Otro;2_¿Ha conseguido cumplir su objetivo?;3_¿Con qué frecuencia consulta el Boletín Oficial del Ayuntamiento de Madrid?;4_¿Con qué perfil se identifica usted más?;4_¿Con qué perfil se identifica usted más?_Otro;5_¿De qué forma mayoritaria realiza sus consultas del Boletín Oficial del Ayuntamiento?;6_¿Conoce el servicio de suscripción al Boletín Oficial del Ayuntamiento de Madrid?;7_Indique su grado de satisfacción general con el Boletín Oficial del Ayuntamiento de Madrid;8_Le agradecemos cualquier comentario que nos ayude a mejorar;9_¿Cuál es su sexo?;10_¿A qué grupo de edad pertenece?
43706118;07/05/2024 7:59;07/05/2024 8:02;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en un Administración Pública;;Desde un PC;No;8;;Mujer;Entre 18 y 40
43706122;07/05/2024 8:03;07/05/2024 8:04;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en un Administración Pública;;;Sí;10;;Mujer;Entre 40 y 65
43706151;07/05/2024 8:16;07/05/2024 8:18;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en un Administración Pública;;Desde un PC;Sí;8;Mejorar la pagina de acceso permitiendo desplegar todo y hacer consultas sucesivas de lo publicado sin volver a origen.;Hombre;Entre 40 y 65
43707041;07/05/2024 9:23;07/05/2024 9:26;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en un Administración Pública;;Desde un PC;Sí;7;;Hombre;Entre 40 y 65
43707067;07/05/2024 9:35;07/05/2024 9:37;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo por cuenta ajena;;Desde un PC;No;10;;Hombre;Entre 18 y 40
43708044;07/05/2024 12:45;07/05/2024 12:46;359511;;Parcial;Desktop;;;;;;;Ocasionalmente;;;;;;;;
43725271;08/05/2024 7:38;08/05/2024 7:39;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
43725280;08/05/2024 7:43;08/05/2024 7:52;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un dispositivo móvil;;5;El buscador no funciona correctamente. El proceso de navegación es deficiente, por ejemplo el botón de regreso a página anterior no funciona correctamente.;Hombre;Entre 40 y 65
43725327;08/05/2024 8:13;08/05/2024 8:14;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
43725357;08/05/2024 8:25;08/05/2024 8:25;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
43725860;08/05/2024 9:06;08/05/2024 9:07;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Ocasionalmente;;;Desde un PC;No;7;;Hombre;Entre 40 y 65
43725876;08/05/2024 9:10;08/05/2024 9:11;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
43725925;08/05/2024 9:26;08/05/2024 9:28;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un dispositivo móvil;Sí;7;;Hombre;Entre 40 y 65
43726039;08/05/2024 10:05;08/05/2024 10:05;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;10;;Mujer;Entre 40 y 65
43726259;08/05/2024 11:17;08/05/2024 11:18;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;;;Trabajo en una Administración Pública;;Desde un PC;No;10;;Mujer;Entre 40 y 65
43726591;08/05/2024 12:31;08/05/2024 12:32;359511;;Completa;Mobile;;;;Consultar el BOAM de un día anterior;;;Diariamente;Trabajo en una Administración Pública;;Desde un dispositivo móvil;Sí;8;;Hombre;Entre 40 y 65
43739908;09/05/2024 6:42;09/05/2024 21:00;359511;;Completa;Mobile;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un dispositivo móvil;Sí;8;;Hombre;Entre 40 y 65
43741111;09/05/2024 8:18;09/05/2024 8:18;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;;;;;;;;
43741219;09/05/2024 9:15;09/05/2024 9:17;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un dispositivo móvil;Sí;10;;Mujer;Entre 40 y 65
43742110;09/05/2024 12:31;09/05/2024 12:33;359511;;Parcial;Mobile;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Otro;;Desde un dispositivo móvil;No;10;;;
43742186;09/05/2024 12:46;09/05/2024 12:53;359511;;Completa;Desktop;;;;Otro;Estar informada;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;5;Si eliges un anuncio en concreto al darle a VOLVER o pinchar en ATRAS te devuelve a la página principal del árbol que compone el BOAM y tienes que volver a desmenuzar hasta donde quieres llegar. Por eso es prefereible elegir el boletin entero y pasar rápido lo que no te interesa.;Mujer;Entre 40 y 65
43749121;10/05/2024 0:26;10/05/2024 0:27;359511;;Parcial;Tablet;;;;Consultar el BOAM de hoy;;No ;Diariamente;Estoy estudiando / opositando;;Desde un dispositivo móvil;Sí;6;;;
43750875;10/05/2024 7:44;10/05/2024 7:45;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;Sí;8;;Mujer;Entre 40 y 65
